post_id,post_country,post_language,likes_cnt,comments_cnt,saved_cnt,post_type,genre,hash_tags,description,related_genres
0021,France,Japanese,875,245,71,Video,Health,"['learning', 'wildlife', 'recipe', 'science']","A post about health featuring learning, wildlife.","['Education', 'Music']"
0022,Japan,Japanese,558,120,90,Video,Cooking,"['vacation', 'wildlife', 'sports', 'education', 'nature', 'music', 'fitness']","A post about cooking featuring vacation, wildlife.","['Travel', 'Cooking']"
0023,Australia,Spanish,791,86,58,Video,Education,"['wildlife', 'adventure', 'vacation', 'recipe', 'travel', 'education', 'technology']","A post about education featuring wildlife, adventure.","['Nature', 'Sports']"
0024,UK,French,1119,234,136,Reel,Music,"['adventure', 'travel', 'health']","A post about music featuring adventure, travel.","['Education', 'Travel']"
0025,Japan,Portuguese,619,162,80,Reel,Cooking,"['forest', 'science', 'coding', 'fitness', 'students', 'vacation', 'machinelearning']","A post about cooking featuring forest, science.","['Health', 'Fashion']"
0026,Italy,Portuguese,505,57,90,Reel,Nature,"['food', 'health', 'culture', 'wildlife']","A post about nature featuring food, health.","['Health', 'Nature']"
0027,Canada,Portuguese,411,106,27,Video,Technology,"['sports', 'education', 'vacation', 'nature', 'culture', 'travel', 'food']","A post about technology featuring sports, education.","['Technology', 'Fashion']"
0028,USA,Japanese,577,79,90,Video,Cooking,"['food', 'culture', 'machinelearning']","A post about cooking featuring food, culture.","['Travel', 'Health']"
0029,UK,German,309,39,47,Image,Nature,"['technology', 'science', 'art', 'forest', 'machinelearning', 'fitness']","A post about nature featuring technology, science.","['Education', 'Health']"
0030,Brazil,Hindi,858,224,82,Reel,Education,"['art', 'adventure', 'science', 'students', 'education', 'machinelearning']","A post about education featuring art, adventure.","['Health', 'Travel']"
0031,UK,Hindi,497,98,84,Text,Music,"['AI', 'food', 'music']","A post about music featuring AI, food.","['Health', 'Cooking']"
0032,India,English,1018,175,100,Reel,Fashion,"['science', 'technology', 'fitness', 'recipe']","A post about fashion featuring science, technology.","['Travel', 'Fitness']"
0033,France,Spanish,471,113,91,Text,Music,"['technology', 'beach', 'coding', 'learning', 'science', 'students', 'wildlife']","A post about music featuring technology, beach.","['Health', 'Nature']"
0034,Brazil,English,395,97,23,Text,Education,"['education', 'AI', 'culture', 'science']","A post about education featuring education, AI.","['Technology', 'Fitness']"
0035,Canada,French,191,42,34,Text,Nature,"['science', 'recipe', 'students']","A post about nature featuring science, recipe.","['Cooking', 'Education']"
0036,Germany,Japanese,824,90,102,Reel,Health,"['science', 'nature', 'culture']","A post about health featuring science, nature.","['Fitness', 'Fashion']"
0037,India,Portuguese,783,188,127,Video,Fashion,"['health', 'machinelearning', 'coding', 'AI']","A post about fashion featuring health, machinelearning.","['Travel', 'Education']"
0038,Canada,Hindi,310,47,17,Text,Travel,"['nature', 'wildlife', 'culture', 'health', 'food', 'fashion']","A post about travel featuring nature, wildlife.","['Technology', 'Education']"
0039,France,Japanese,1105,330,92,Reel,Music,"['music', 'forest', 'coding', 'AI', 'machinelearning']","A post about music featuring music, forest.","['Fashion', 'Fitness']"
0040,USA,German,516,58,82,Image,Health,"['education', 'art', 'wildlife', 'coding', 'travel']","A post about health featuring education, art.","['Fitness', 'Travel']"
0041,Italy,Hindi,814,110,78,Reel,Health,"['food', 'travel', 'nature']","A post about health featuring food, travel.","['Technology', 'Nature']"
0042,Australia,Japanese,745,191,77,Reel,Travel,"['travel', 'coding', 'wildlife', 'technology', 'recipe', 'sports']","A post about travel featuring travel, coding.","['Sports', 'Fashion']"
0043,Japan,Hindi,337,91,63,Image,Cooking,"['education', 'art', 'machinelearning', 'culture', 'nature', 'recipe', 'wildlife']","A post about cooking featuring education, art.","['Education', 'Travel']"
0044,USA,Hindi,547,103,72,Text,Music,"['wildlife', 'sports', 'science', 'fitness', 'AI', 'food', 'technology']","A post about music featuring wildlife, sports.","['Education', 'Fitness']"
0045,Australia,German,290,62,24,Image,Technology,"['technology', 'fashion', 'sports', 'art', 'culture', 'food', 'science']","A post about technology featuring technology, fashion.","['Cooking', 'Health']"
0046,Australia,German,572,170,111,Video,Fitness,"['machinelearning', 'coding', 'health', 'technology', 'culture', 'education', 'fitness']","A post about fitness featuring machinelearning, coding.","['Fashion', 'Health']"
0047,Germany,Japanese,342,86,29,Text,Fitness,"['nature', 'technology', 'coding', 'fashion', 'sports']","A post about fitness featuring nature, technology.","['Travel', 'Fashion']"
0048,India,French,911,210,125,Reel,Fashion,"['beach', 'forest', 'nature']","A post about fashion featuring beach, forest.","['Technology', 'Cooking']"
0049,Australia,Spanish,407,73,38,Text,Health,"['fashion', 'technology', 'adventure']","A post about health featuring fashion, technology.","['Technology', 'Fashion']"
0050,Germany,Japanese,960,188,176,Reel,Fashion,"['students', 'culture', 'forest', 'technology', 'coding', 'nature', 'AI']","A post about fashion featuring students, culture.","['Nature', 'Technology']"
0051,France,Hindi,746,135,41,Reel,Education,"['science', 'travel', 'nature', 'vacation', 'beach', 'fashion']","A post about education featuring science, travel.","['Health', 'Music']"
0052,USA,Spanish,581,115,99,Video,Travel,"['learning', 'students', 'wildlife']","A post about travel featuring learning, students.","['Travel', 'Health']"
0053,UK,Japanese,276,55,40,Text,Technology,"['music', 'culture', 'fitness', 'sports']","A post about technology featuring music, culture.","['Nature', 'Fashion']"
0054,Australia,French,958,171,185,Reel,Health,"['coding', 'education', 'science', 'machinelearning', 'students', 'nature', 'fitness']","A post about health featuring coding, education.","['Health', 'Technology']"
0055,Australia,English,374,42,66,Image,Technology,"['wildlife', 'nature', 'science', 'learning', 'fitness', 'food']","A post about technology featuring wildlife, nature.","['Fashion', 'Fitness']"
0056,Germany,Spanish,516,53,64,Reel,Cooking,"['students', 'art', 'fitness', 'learning']","A post about cooking featuring students, art.","['Sports', 'Cooking']"
0057,USA,French,574,103,70,Video,Travel,"['culture', 'health', 'forest']","A post about travel featuring culture, health.","['Nature', 'Fitness']"
0058,France,Portuguese,717,176,131,Image,Sports,"['technology', 'culture', 'beach', 'fashion']","A post about sports featuring technology, culture.","['Fitness', 'Technology']"
0059,Australia,Portuguese,903,264,79,Reel,Health,"['students', 'science', 'adventure', 'beach']","A post about health featuring students, science.","['Nature', 'Technology']"
0060,Brazil,German,479,93,24,Text,Health,"['AI', 'technology', 'machinelearning', 'fashion', 'health', 'students', 'education']","A post about health featuring AI, technology.","['Travel', 'Technology']"
0061,India,English,242,63,14,Image,Nature,"['nature', 'health', 'beach', 'forest', 'AI', 'technology']","A post about nature featuring nature, health.","['Education', 'Cooking']"
0062,Germany,Hindi,426,110,57,Video,Cooking,"['health', 'forest', 'recipe', 'fashion']","A post about cooking featuring health, forest.","['Music', 'Sports']"
0063,Australia,German,628,99,114,Reel,Travel,"['machinelearning', 'forest', 'coding']","A post about travel featuring machinelearning, forest.","['Technology', 'Travel']"
0064,Brazil,Japanese,263,54,23,Image,Nature,"['vacation', 'adventure', 'health', 'coding']","A post about nature featuring vacation, adventure.","['Travel', 'Music']"
0065,France,French,488,110,49,Image,Fitness,"['vacation', 'technology', 'machinelearning', 'wildlife', 'learning']","A post about fitness featuring vacation, technology.","['Health', 'Sports']"
0066,Japan,English,672,87,42,Image,Sports,"['learning', 'education', 'adventure', 'sports', 'machinelearning', 'art', 'music']","A post about sports featuring learning, education.","['Fitness', 'Cooking']"
0067,Australia,Hindi,355,55,30,Image,Cooking,"['AI', 'vacation', 'science', 'learning']","A post about cooking featuring AI, vacation.","['Fitness', 'Cooking']"
0068,USA,English,692,140,137,Image,Health,"['beach', 'education', 'learning', 'fashion', 'vacation', 'forest']","A post about health featuring beach, education.","['Technology', 'Fitness']"
0069,Germany,German,910,170,48,Reel,Fashion,"['forest', 'coding', 'fashion', 'learning', 'beach', 'culture', 'wildlife']","A post about fashion featuring forest, coding.","['Cooking', 'Music']"
0070,USA,Japanese,379,112,70,Text,Education,"['science', 'beach', 'travel', 'education', 'food', 'fitness']","A post about education featuring science, beach.","['Sports', 'Music']"
0071,Canada,German,363,52,57,Text,Travel,"['learning', 'AI', 'beach', 'students', 'health']","A post about travel featuring learning, AI.","['Fitness', 'Nature']"
0072,Brazil,Japanese,505,112,35,Text,Fashion,"['fitness', 'coding', 'fashion', 'music', 'beach', 'nature', 'travel']","A post about fashion featuring fitness, coding.","['Education', 'Fitness']"
0073,Germany,English,944,248,141,Video,Sports,"['fashion', 'wildlife', 'vacation', 'sports']","A post about sports featuring fashion, wildlife.","['Technology', 'Cooking']"
0074,Brazil,Spanish,370,53,69,Text,Health,"['education', 'art', 'forest', 'coding', 'vacation']","A post about health featuring education, art.","['Technology', 'Nature']"
0075,Brazil,French,533,58,29,Image,Travel,"['nature', 'music', 'students']","A post about travel featuring nature, music.","['Education', 'Music']"
0076,USA,Japanese,550,64,94,Image,Travel,"['coding', 'science', 'health', 'fitness', 'art']","A post about travel featuring coding, science.","['Education', 'Fashion']"
0077,Germany,Portuguese,472,66,36,Text,Sports,"['food', 'wildlife', 'students']","A post about sports featuring food, wildlife.","['Education', 'Nature']"
0078,Brazil,German,620,72,112,Reel,Cooking,"['food', 'fashion', 'technology', 'sports', 'machinelearning']","A post about cooking featuring food, fashion.","['Education', 'Fashion']"
0079,UK,Japanese,515,127,28,Image,Health,"['wildlife', 'learning', 'education', 'nature']","A post about health featuring wildlife, learning.","['Sports', 'Technology']"
0080,India,Spanish,271,58,43,Image,Nature,"['nature', 'food', 'science', 'wildlife', 'recipe', 'machinelearning', 'music']","A post about nature featuring nature, food.","['Travel', 'Fitness']"
0081,Japan,Spanish,809,110,59,Reel,Education,"['learning', 'beach', 'vacation', 'adventure']","A post about education featuring learning, beach.","['Nature', 'Fitness']"
0082,USA,Hindi,217,26,23,Image,Nature,"['technology', 'AI', 'coding', 'nature', 'fashion']","A post about nature featuring technology, AI.","['Cooking', 'Sports']"
0083,India,Spanish,934,213,107,Video,Sports,"['nature', 'machinelearning', 'food']","A post about sports featuring nature, machinelearning.","['Fashion', 'Cooking']"
0084,India,English,698,161,66,Image,Health,"['fitness', 'wildlife', 'beach', 'vacation']","A post about health featuring fitness, wildlife.","['Music', 'Nature']"
0085,Germany,English,560,90,34,Text,Music,"['vacation', 'forest', 'food']","A post about music featuring vacation, forest.","['Cooking', 'Fashion']"
0086,USA,Hindi,669,185,133,Image,Music,"['wildlife', 'health', 'beach', 'coding', 'culture', 'technology', 'students']","A post about music featuring wildlife, health.","['Technology', 'Fashion']"
0087,USA,Spanish,655,139,95,Reel,Fitness,"['students', 'beach', 'learning', 'sports', 'fashion', 'health', 'adventure']","A post about fitness featuring students, beach.","['Fitness', 'Technology']"
0088,Germany,Hindi,741,206,117,Video,Fitness,"['fitness', 'technology', 'machinelearning']","A post about fitness featuring fitness, technology.","['Travel', 'Technology']"
0089,Brazil,French,425,63,48,Text,Education,"['fashion', 'machinelearning', 'nature', 'recipe', 'education', 'food']","A post about education featuring fashion, machinelearning.","['Nature', 'Music']"
0090,Brazil,French,482,113,53,Video,Cooking,"['beach', 'fashion', 'fitness', 'sports']","A post about cooking featuring beach, fashion.","['Music', 'Technology']"
0091,France,Portuguese,583,122,37,Text,Sports,"['wildlife', 'coding', 'fitness', 'learning', 'vacation', 'music']","A post about sports featuring wildlife, coding.","['Travel', 'Music']"
0092,India,French,310,45,49,Video,Nature,"['forest', 'education', 'fitness', 'travel', 'technology', 'nature']","A post about nature featuring forest, education.","['Music', 'Travel']"
0093,Canada,German,981,261,52,Reel,Fashion,"['sports', 'technology', 'culture', 'machinelearning']","A post about fashion featuring sports, technology.","['Cooking', 'Sports']"
0094,India,Hindi,776,231,65,Video,Health,"['machinelearning', 'culture', 'music', 'learning', 'coding']","A post about health featuring machinelearning, culture.","['Music', 'Technology']"
0095,Canada,English,699,127,47,Reel,Travel,"['music', 'learning', 'adventure']","A post about travel featuring music, learning.","['Cooking', 'Sports']"
0096,Italy,Portuguese,683,136,37,Reel,Travel,"['vacation', 'coding', 'education', 'beach']","A post about travel featuring vacation, coding.","['Fashion', 'Technology']"
0097,UK,Portuguese,561,78,37,Text,Sports,"['travel', 'culture', 'learning', 'sports', 'AI']","A post about sports featuring travel, culture.","['Nature', 'Travel']"
0098,Brazil,German,460,96,39,Text,Fashion,"['fashion', 'adventure', 'food']","A post about fashion featuring fashion, adventure.","['Education', 'Health']"
0099,Italy,Japanese,418,43,24,Text,Fitness,"['music', 'AI', 'students', 'learning', 'culture', 'technology']","A post about fitness featuring music, AI.","['Sports', 'Cooking']"
0100,Brazil,French,722,94,73,Reel,Travel,"['science', 'food', 'education']","A post about travel featuring science, food.","['Fashion', 'Health']"
0101,Germany,French,256,30,34,Image,Technology,"['recipe', 'AI', 'nature']","A post about technology featuring recipe, AI.","['Education', 'Music']"
0102,Italy,Portuguese,1050,176,150,Reel,Music,"['beach', 'adventure', 'food', 'health', 'technology', 'forest', 'nature']","A post about music featuring beach, adventure.","['Technology', 'Fitness']"
0103,France,German,723,140,142,Reel,Fitness,"['recipe', 'vacation', 'fashion', 'AI']","A post about fitness featuring recipe, vacation.","['Music', 'Education']"
0104,Canada,German,187,53,13,Text,Technology,"['AI', 'forest', 'fitness', 'beach', 'recipe', 'culture']","A post about technology featuring AI, forest.","['Fashion', 'Fitness']"
0105,France,Portuguese,420,100,52,Image,Cooking,"['beach', 'coding', 'students']","A post about cooking featuring beach, coding.","['Sports', 'Travel']"
0106,France,Spanish,366,99,43,Image,Nature,"['sports', 'education', 'art', 'vacation', 'music', 'adventure', 'science']","A post about nature featuring sports, education.","['Travel', 'Cooking']"
0107,France,Spanish,501,68,55,Video,Cooking,"['vacation', 'AI', 'recipe']","A post about cooking featuring vacation, AI.","['Sports', 'Cooking']"
0108,Germany,English,715,128,53,Video,Education,"['recipe', 'health', 'food', 'students', 'sports']","A post about education featuring recipe, health.","['Fitness', 'Cooking']"
0109,USA,English,545,162,38,Reel,Technology,"['education', 'science', 'forest', 'recipe', 'fashion', 'culture']","A post about technology featuring education, science.","['Fitness', 'Education']"
0110,India,Spanish,1036,297,194,Reel,Sports,"['education', 'food', 'students', 'fashion', 'nature', 'travel', 'wildlife']","A post about sports featuring education, food.","['Fitness', 'Fashion']"
0111,Germany,English,508,146,72,Image,Fitness,"['adventure', 'travel', 'fashion', 'education', 'health', 'recipe', 'machinelearning']","A post about fitness featuring adventure, travel.","['Sports', 'Education']"
0112,UK,Japanese,299,83,50,Video,Nature,"['culture', 'fashion', 'beach', 'learning', 'health']","A post about nature featuring culture, fashion.","['Sports', 'Fitness']"
0113,USA,French,685,196,64,Reel,Fitness,"['travel', 'recipe', 'food', 'science', 'nature', 'vacation', 'AI']","A post about fitness featuring travel, recipe.","['Technology', 'Fashion']"
0114,Australia,Japanese,497,123,89,Image,Cooking,"['health', 'forest', 'science', 'travel', 'AI', 'culture']","A post about cooking featuring health, forest.","['Travel', 'Cooking']"
0115,UK,Portuguese,466,51,32,Video,Technology,"['fitness', 'adventure', 'recipe', 'students', 'sports', 'health']","A post about technology featuring fitness, adventure.","['Nature', 'Education']"
0116,Australia,Spanish,648,101,34,Reel,Cooking,"['sports', 'forest', 'coding', 'health', 'nature', 'food', 'adventure']","A post about cooking featuring sports, forest.","['Fashion', 'Technology']"
0117,Germany,Japanese,976,199,106,Video,Music,"['food', 'recipe', 'travel']","A post about music featuring food, recipe.","['Nature', 'Technology']"
0118,Australia,English,731,180,88,Reel,Fitness,"['coding', 'nature', 'beach', 'students']","A post about fitness featuring coding, nature.","['Nature', 'Health']"
0119,Germany,Japanese,521,91,79,Text,Fashion,"['wildlife', 'recipe', 'culture', 'technology', 'nature', 'travel', 'coding']","A post about fashion featuring wildlife, recipe.","['Technology', 'Fitness']"
0120,Germany,German,707,132,90,Video,Education,"['education', 'vacation', 'beach', 'culture']","A post about education featuring education, vacation.","['Music', 'Nature']"
0121,Australia,Japanese,651,138,63,Reel,Fitness,"['sports', 'machinelearning', 'wildlife', 'students']","A post about fitness featuring sports, machinelearning.","['Technology', 'Nature']"
0122,Australia,German,560,137,29,Image,Health,"['health', 'nature', 'vacation', 'AI']","A post about health featuring health, nature.","['Health', 'Education']"
0123,USA,Spanish,676,157,62,Reel,Fitness,"['machinelearning', 'fitness', 'science', 'students', 'nature']","A post about fitness featuring machinelearning, fitness.","['Music', 'Technology']"
0124,Germany,Hindi,408,83,45,Image,Cooking,"['wildlife', 'travel', 'nature', 'music']","A post about cooking featuring wildlife, travel.","['Nature', 'Music']"
0125,India,German,734,159,92,Reel,Education,"['machinelearning', 'AI', 'music', 'technology', 'fashion', 'beach', 'forest']","A post about education featuring machinelearning, AI.","['Health', 'Music']"
0126,Germany,Hindi,343,37,28,Text,Travel,"['forest', 'adventure', 'culture']","A post about travel featuring forest, adventure.","['Music', 'Travel']"
0127,France,French,268,44,44,Image,Technology,"['education', 'food', 'fashion', 'students', 'health', 'beach']","A post about technology featuring education, food.","['Music', 'Travel']"
0128,UK,Japanese,494,107,60,Reel,Technology,"['music', 'wildlife', 'science', 'students', 'beach']","A post about technology featuring music, wildlife.","['Health', 'Nature']"
0129,UK,German,278,74,33,Text,Technology,"['travel', 'nature', 'AI', 'learning']","A post about technology featuring travel, nature.","['Nature', 'Fashion']"
0130,France,Hindi,963,174,175,Video,Sports,"['learning', 'AI', 'fitness', 'forest', 'music']","A post about sports featuring learning, AI.","['Travel', 'Music']"
0131,USA,Spanish,656,117,100,Reel,Fitness,"['culture', 'fashion', 'beach', 'music', 'health', 'travel', 'food']","A post about fitness featuring culture, fashion.","['Nature', 'Music']"
0132,France,French,187,48,30,Text,Cooking,"['fashion', 'wildlife', 'adventure', 'technology']","A post about cooking featuring fashion, wildlife.","['Education', 'Travel']"
0133,UK,English,663,192,56,Reel,Fitness,"['beach', 'art', 'travel']","A post about fitness featuring beach, art.","['Nature', 'Travel']"
0134,Australia,German,651,162,94,Image,Sports,"['coding', 'vacation', 'fashion', 'recipe', 'science', 'sports', 'music']","A post about sports featuring coding, vacation.","['Health', 'Sports']"
0135,Italy,Spanish,557,162,44,Image,Health,"['wildlife', 'vacation', 'fashion', 'coding', 'machinelearning', 'education', 'nature']","A post about health featuring wildlife, vacation.","['Travel', 'Sports']"
0136,Australia,German,258,74,45,Text,Fitness,"['fashion', 'food', 'fitness', 'sports', 'health', 'learning', 'adventure']","A post about fitness featuring fashion, food.","['Cooking', 'Health']"
0137,Brazil,Japanese,326,64,54,Text,Technology,"['science', 'health', 'food', 'forest', 'fashion', 'technology', 'students']","A post about technology featuring science, health.","['Fashion', 'Nature']"
0138,Germany,Japanese,554,88,42,Text,Sports,"['learning', 'adventure', 'sports', 'music', 'culture']","A post about sports featuring learning, adventure.","['Education', 'Health']"
0139,Brazil,Spanish,1070,281,177,Video,Sports,"['health', 'fashion', 'forest', 'vacation', 'music', 'adventure', 'recipe']","A post about sports featuring health, fashion.","['Fitness', 'Music']"
0140,Canada,Portuguese,527,133,102,Image,Health,"['recipe', 'beach', 'adventure', 'coding', 'students']","A post about health featuring recipe, beach.","['Education', 'Technology']"
0141,India,Spanish,579,129,62,Image,Education,"['travel', 'culture', 'coding', 'students', 'adventure', 'vacation', 'sports']","A post about education featuring travel, culture.","['Fashion', 'Nature']"
0142,Australia,English,1044,295,59,Reel,Fashion,"['culture', 'students', 'travel', 'beach', 'science', 'AI', 'forest']","A post about fashion featuring culture, students.","['Education', 'Nature']"
0143,Brazil,Spanish,631,162,67,Video,Travel,"['education', 'forest', 'recipe', 'wildlife', 'music', 'adventure', 'culture']","A post about travel featuring education, forest.","['Music', 'Nature']"
0144,Japan,Portuguese,643,115,79,Video,Travel,"['AI', 'adventure', 'forest', 'health']","A post about travel featuring AI, adventure.","['Music', 'Technology']"
0145,India,Portuguese,462,126,35,Image,Fitness,"['health', 'AI', 'vacation', 'beach', 'science', 'music']","A post about fitness featuring health, AI.","['Sports', 'Cooking']"
0146,Canada,English,1196,319,159,Reel,Sports,"['recipe', 'travel', 'wildlife', 'students', 'health']","A post about sports featuring recipe, travel.","['Technology', 'Sports']"
0147,Italy,Spanish,666,122,43,Video,Fitness,"['beach', 'culture', 'forest', 'wildlife', 'nature', 'fashion', 'vacation']","A post about fitness featuring beach, culture.","['Cooking', 'Travel']"
0148,India,Hindi,795,212,74,Video,Education,"['recipe', 'technology', 'students']","A post about education featuring recipe, technology.","['Technology', 'Nature']"
0149,Italy,English,367,70,70,Image,Technology,"['culture', 'technology', 'fitness', 'travel', 'music', 'AI']","A post about technology featuring culture, technology.","['Nature', 'Health']"
0150,Brazil,Japanese,507,98,67,Reel,Cooking,"['fashion', 'nature', 'sports', 'technology', 'coding', 'art', 'culture']","A post about cooking featuring fashion, nature.","['Education', 'Cooking']"
0151,Italy,Hindi,308,46,45,Image,Technology,"['vacation', 'learning', 'machinelearning', 'travel']","A post about technology featuring vacation, learning.","['Cooking', 'Education']"
0152,Australia,English,350,88,57,Text,Education,"['vacation', 'art', 'technology', 'coding', 'beach', 'forest', 'AI']","A post about education featuring vacation, art.","['Nature', 'Sports']"
0153,Canada,Portuguese,464,95,85,Image,Education,"['adventure', 'machinelearning', 'learning', 'science']","A post about education featuring adventure, machinelearning.","['Health', 'Travel']"
0154,Japan,German,746,217,126,Image,Fashion,"['students', 'culture', 'fitness', 'fashion', 'technology', 'beach', 'machinelearning']","A post about fashion featuring students, culture.","['Music', 'Nature']"
0155,France,French,499,119,86,Text,Sports,"['food', 'art', 'health', 'nature', 'science', 'learning', 'beach']","A post about sports featuring food, art.","['Fitness', 'Sports']"
0156,Germany,Japanese,418,48,30,Image,Travel,"['art', 'fashion', 'coding', 'students', 'forest']","A post about travel featuring art, fashion.","['Cooking', 'Sports']"
0157,Italy,Portuguese,627,152,33,Image,Music,"['food', 'culture', 'adventure']","A post about music featuring food, culture.","['Fashion', 'Travel']"
0158,USA,Japanese,383,87,74,Reel,Nature,"['science', 'coding', 'students', 'culture', 'wildlife']","A post about nature featuring science, coding.","['Music', 'Health']"
0159,USA,French,531,101,101,Text,Music,"['coding', 'nature', 'education', 'travel', 'wildlife', 'fitness', 'sports']","A post about music featuring coding, nature.","['Technology', 'Sports']"
0160,USA,French,533,108,77,Text,Sports,"['adventure', 'beach', 'machinelearning', 'students']","A post about sports featuring adventure, beach.","['Travel', 'Fashion']"
0161,USA,English,687,133,79,Video,Health,"['nature', 'AI', 'machinelearning', 'learning', 'adventure']","A post about health featuring nature, AI.","['Cooking', 'Travel']"
0162,USA,Portuguese,765,187,72,Video,Education,"['beach', 'adventure', 'learning', 'recipe']","A post about education featuring beach, adventure.","['Nature', 'Fashion']"
0163,France,Portuguese,245,42,23,Text,Nature,"['forest', 'students', 'recipe', 'wildlife', 'technology']","A post about nature featuring forest, students.","['Music', 'Sports']"
0164,Italy,German,396,77,26,Text,Travel,"['adventure', 'students', 'wildlife', 'fitness', 'health', 'music']","A post about travel featuring adventure, students.","['Technology', 'Cooking']"
0165,Italy,Portuguese,494,80,71,Text,Health,"['forest', 'wildlife', 'machinelearning', 'beach']","A post about health featuring forest, wildlife.","['Health', 'Nature']"
0166,India,English,311,70,51,Image,Nature,"['learning', 'machinelearning', 'sports']","A post about nature featuring learning, machinelearning.","['Sports', 'Health']"
0167,Brazil,English,280,48,15,Text,Technology,"['machinelearning', 'science', 'culture', 'music', 'technology', 'art', 'AI']","A post about technology featuring machinelearning, science.","['Nature', 'Education']"
0168,Japan,Hindi,561,93,37,Image,Fitness,"['students', 'machinelearning', 'adventure', 'wildlife', 'beach', 'recipe']","A post about fitness featuring students, machinelearning.","['Education', 'Cooking']"
0169,India,English,575,152,110,Reel,Cooking,"['coding', 'learning', 'beach', 'recipe']","A post about cooking featuring coding, learning.","['Technology', 'Sports']"
0170,USA,Portuguese,778,155,83,Reel,Fitness,"['technology', 'beach', 'vacation', 'health', 'education', 'forest']","A post about fitness featuring technology, beach.","['Technology', 'Health']"
0171,India,English,926,97,104,Reel,Fashion,"['sports', 'food', 'forest']","A post about fashion featuring sports, food.","['Fitness', 'Sports']"
0172,Brazil,Hindi,577,170,59,Reel,Travel,"['recipe', 'sports', 'culture', 'fashion', 'nature', 'travel', 'forest']","A post about travel featuring recipe, sports.","['Travel', 'Nature']"
0173,Australia,English,325,58,35,Text,Fitness,"['nature', 'wildlife', 'travel', 'music']","A post about fitness featuring nature, wildlife.","['Education', 'Travel']"
0174,Brazil,Japanese,323,92,45,Text,Fitness,"['fitness', 'learning', 'fashion', 'wildlife', 'technology']","A post about fitness featuring fitness, learning.","['Nature', 'Health']"
